name,address,pincode,lat,lon,fee_type,vaccine_fees,date,available_capacity_dose1,available_capacity_dose2,min_age_limit,vaccine,slots
Genesis Fertility,607 Mall Road Model Town Near Manbro Chowk Jalandhar,144001,31,75,Paid,COVISHIELD:1000,05-06-2021,598,50,18,COVISHIELD,10:00AM-12:00PM|12:00PM-02:00PM|02:00PM-04:00PM|04:00PM-05:00PM
Genesis Fertility,607 Mall Road Model Town Near Manbro Chowk Jalandhar,144001,31,75,Paid,COVISHIELD:1000,06-06-2021,507,20,18,COVISHIELD,10:00AM-12:00PM|12:00PM-02:00PM|02:00PM-04:00PM|04:00PM-05:00PM
Genesis Fertility,607 Mall Road Model Town Near Manbro Chowk Jalandhar,144001,31,75,Paid,COVISHIELD:1000,06-06-2021,995,50,18,COVISHIELD,10:00AM-12:00PM|12:00PM-02:00PM|02:00PM-04:00PM|04:00PM-05:00PM
Genesis Fertility,607 Mall Road Model Town Near Manbro Chowk Jalandhar,144001,31,75,Paid,COVISHIELD:1000,07-06-2021,560,19,18,COVISHIELD,10:00AM-12:00PM|12:00PM-02:00PM|02:00PM-04:00PM|04:00PM-05:00PM
Genesis Fertility,607 Mall Road Model Town Near Manbro Chowk Jalandhar,144001,31,75,Paid,COVISHIELD:1000,08-06-2021,655,20,18,COVISHIELD,10:00AM-12:00PM|12:00PM-02:00PM|02:00PM-04:00PM|04:00PM-06:00PM
Genesis Fertility,607 Mall Road Model Town Near Manbro Chowk Jalandhar,144001,31,75,Paid,COVISHIELD:1000,09-06-2021,669,20,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Genesis Fertility,607 Mall Road Model Town Near Manbro Chowk Jalandhar,144001,31,75,Paid,COVISHIELD:1000,10-06-2021,490,20,18,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
